ID,uniorg,interests,subject,grad_date,course_level,branch_name,age,gender,space_word,mtype,status,registration_date
1,Imperial College London,,Aeronautical/Aerospace Engineering,,undergrad,Imperial College Students for the Exploration and Development of Space (ICSEDS),24,male,,branch,100,01/01/2012
2,Queen Mary's College,,,,,,0,male,,student,150,01/01/2012
3,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,female,,branch,150,01/01/2012
4,Heathcote School & Science College,,,,,,0,female,,student,150,01/01/2012
5,"Queen Mary, University of London",,,,,,0,male,,student,150,01/01/2012
6,"Queen Mary, University of London",,,,,,0,male,,student,150,01/01/2012
7,Queen's University Belfast,,,,,,0,female,,student,150,01/01/2012
8,King's College London,,,,,,0,male,,student,150,01/01/2012
9,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2012
10,Open University,,,,,,0,female,,student,150,01/01/2012
11,The Space Clinic LLC,,,,,,0,female,,non-student,150,01/01/2012
12,AMSAT-UK,,,,,,0,male,,non-student,150,01/01/2012
13,University of Manchester,,,,,Manchester AstroSoc,0,female,,branch,150,01/01/2012
14,University of Birmingham,,,,,,0,female,,student,150,01/01/2012
15,University of Glasgow,,,,,Strathclyde SEDS (StrathSEDS),0,female,,non-student,150,01/01/2012
16,ESILV Leonard Devinci,,,,,,0,male,,student,150,01/01/2012
17,University of Southampton,,,,,,0,male,,student,150,01/01/2012
18,University of the West of England,,,,,,0,female,,student,150,01/01/2012
19,University of Manchester,,,,,Manchester AeroSoc,0,male,,branch,150,01/01/2012
20,University of Exeter,,,,,Exeter PhySoc,0,male,,branch,150,01/01/2012
21,University of Exeter,,,,,Exeter PhySoc,0,female,,branch,150,01/01/2012
22,University of Bristol,,,,,Bristol SEDS,0,male,,branch,150,01/01/2012
23,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2012
24,Ellesmere College,,,,,,0,female,,student,150,01/01/2012
25,University of Surrey,,,,,Surrey EARS,0,male,,branch,150,01/01/2012
26,Salford University,,,,,Salford University Engineers' Union,0,male,,branch,150,01/01/2012
27,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2012
28,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2012
29,University of Manchester,,,,,Manchester AeroSoc,0,male,,branch,150,01/01/2012
30,University of St Andrews,,,,,St Andrews AstroSoc,0,female,,branch,150,01/01/2012
31,University of St Andrews,,,,,St Andrews AstroSoc,0,female,,branch,150,01/01/2012
32,University of Leicester,,,,,Leicester AstRoSoc,0,male,,branch,150,01/01/2012
33,University of St Andrews,,,,,St Andrews AstroSoc,0,female,,branch,150,01/01/2012
34,University of Leicester,,,,,Leicester AstRoSoc,0,male,,branch,150,01/01/2012
35,University of St Andrews,,,,,St Andrews AstroSoc,0,female,,branch,150,01/01/2012
36,University of Bristol,,,,,Bristol SEDS,0,male,,branch,150,01/01/2012
37,University of Manchester,,,,,Manchester AeroSoc,0,male,,branch,150,01/01/2012
38,University of Manchester,,,,,Manchester AeroSoc,0,male,,branch,150,01/01/2012
39,University of Leicester,,,,,Leicester AstRoSoc,0,male,,branch,150,01/01/2012
40,University of St Andrews,,,,,St Andrews AstroSoc,0,female,,branch,150,01/01/2012
41,University of Exeter,,,,,Exeter PhySoc,0,male,,branch,150,01/01/2012
42,University of St Andrews,,,,,St Andrews AstroSoc,0,,,branch,150,01/01/2012
43,University of Manchester,,,,,Manchester AeroSoc,0,male,,branch,150,01/01/2012
44,University of St Andrews,,,,,St Andrews AstroSoc,0,male,,branch,150,01/01/2012
45,University of Manchester,,,,,,0,male,,branch,150,01/01/2012
46,University of Exeter,,,,,Exeter PhySoc,0,male,,branch,150,01/01/2012
47,University of St Andrews,,,,,St Andrews AstroSoc,0,female,,branch,150,01/01/2012
48,University of Manchester,,,,,Manchester AeroSoc,0,male,,branch,150,01/01/2012
49,University of Exeter,,,,,Exeter PhySoc,0,male,,branch,150,01/01/2012
